,index,Unnamed: 0
0,12619,
1,8160,
2,12772,
3,9248,
4,6075,
5,1297,
6,11960,
7,16761,
8,12647,
9,9559,
10,4218,
11,9319,
12,7391,
13,6278,
14,5138,
15,16918,
16,8502,
17,7596,
18,3577,
19,475,
20,12958,
21,678,
22,876,
23,4807,
24,922,
25,422,
26,9859,
27,5883,
28,1185,
29,14564,
30,10193,
31,12615,
32,4643,
33,14522,
34,130,
35,16519,
36,5689,
37,3788,
38,2613,
39,10686,
40,12865,
41,5569,
42,13002,
43,3681,
44,9477,
45,6728,
46,16232,
47,1794,
48,8736,
49,938,
50,1693,
51,7095,
52,17051,
53,9452,
54,8181,
55,1868,
56,1331,
57,5170,
58,6038,
59,10727,
60,11578,
61,17950,
62,2841,
63,14598,
64,17090,
65,14999,
66,10737,
67,8467,
68,4738,
69,10350,
70,14173,
71,14712,
72,5418,
73,15734,
74,10242,
75,17215,
76,16758,
77,1333,
78,8324,
79,16279,
80,17133,
81,2136,
82,13684,
83,17735,
84,8525,
85,7426,
86,5127,
87,8522,
88,16248,
89,10530,
90,7801,
91,4944,
92,7852,
93,12723,
94,10451,
95,10097,
96,13617,
97,5044,
98,1374,
99,5712,
100,17414,
101,5759,
102,16472,
103,15048,
104,7914,
105,11256,
106,14371,
107,2415,
108,17774,
109,9821,
110,9961,
111,2367,
112,4809,
113,14359,
114,5859,
115,9510,
116,8588,
117,16434,
118,6356,
119,1194,
120,16199,
121,12099,
122,5021,
123,2368,
124,4244,
125,7021,
126,8894,
127,10928,
128,16527,
129,15999,
130,13504,
131,5686,
132,14273,
133,1623,
134,5638,
135,9111,
136,12126,
137,17069,
138,1377,
139,3746,
140,15568,
141,8246,
142,11178,
143,2061,
144,7932,
145,12886,
146,9764,
147,549,
148,4514,
149,4633,
150,12595,
151,4788,
152,9259,
153,16369,
154,10986,
155,14077,
156,8524,
157,9969,
158,1633,
159,17193,
160,8510,
161,9950,
162,6111,
163,2080,
164,4062,
165,14837,
166,12566,
167,1438,
168,13380,
169,6060,
170,4002,
171,3144,
172,12866,
173,16551,
174,4754,
175,4609,
176,5814,
177,1107,
178,6059,
179,8300,
180,16723,
181,3543,
182,2874,
183,8613,
184,6176,
185,3243,
186,7606,
187,1538,
188,17103,
189,17706,
190,6712,
191,9753,
192,6142,
193,15850,
194,6861,
195,4187,
196,4644,
197,11995,
198,5249,
199,833,
200,13652,
201,6638,
202,5517,
203,16876,
204,17727,
205,6470,
206,17302,
207,16752,
208,5542,
209,1905,
210,14493,
211,2275,
212,6076,
213,11377,
214,7907,
215,13400,
216,2855,
217,5232,
218,1450,
219,16585,
220,10972,
221,681,
222,11884,
223,3246,
224,7508,
225,13910,
226,3021,
227,3711,
